Sembol	Piyasa Değeri	Defter Değeri	Toplam Hisse Sayısı	Net Kar (Son 4Ç)	EPS
A1CAP	3256200000.00	3456320645.00	135000000.00	35382641.00	0.26
ACSEL	1149366240.00	461327977.00	10721700.00	-6321141.00	-0.59
ADEL	9215167500.00	1549076000.00	259875000.00	345386000.00	1.00
ADESE	2147040000.00	9611800000.00	1008000000.00	2611132000.00	3.00
ADGYO	9204558000.00	6415978434.00	293700000.00	312669408.00	1.00
AEFES	121736842072.80	85861706000.00	592105263.00	19718128000.00	33.00
AFYON	5516000000.00	5404105784.00	400000000.00	1410217649.00	4.00
AGESA	24606000000.00	4609923017.00	180000000.00	2264347329.00	13.00
AGHOL	79757554631.90	89512720000.00	243534517.96	13067988000.00	54.00
AGROT	16116000000.00	6367612168.00	1200000000.00	337674636.00	0.28
AGYO	2127787200.00	4901719226.00	263340000.00	898951900.00	3.00
AHGAZ	52832000000.00	23106077374.00	2600000000.00	4730500170.00	2.00
AHSGY	4524000000.00	5381678607.00	195000000.00	1662722950.00	9.00
AKBNK	309920000000.00	230945078000.00	5200000000.00	48157121000.00	9.00
AKCNS	31378174486.18	18312892000.00	191447068.25	1941980000.00	10.00
AKENR	8341636160.00	19702289193.00	729164000.00	6598869856.00	9.00
AKFGY	8502000000.00	22278510704.00	3900000000.00	-532294837.00	-0.14
AKFYE	18786430700.03	30325228000.00	1016031947.00	5805054000.00	6.00
AKGRT	10171720000.00	4524936177.00	1612000000.00	1631191591.00	1.00
AKMGY	7732280000.00	7738061211.00	37264000.00	722911240.00	19.00
AKSA	35858550000.00	22088904000.00	3885000000.00	3369502000.00	0.87
AKSEN	42627517083.36	38491801284.00	1226338236.00	5193678095.00	4.00
AKSGY	17508750000.00	29110710368.00	2415000000.00	4324399764.00	2.00
AKSUE	777480000.00	576277109.00	66000000.00	118132749.00	2.00
AKYHO	774352800.00	865485488.00	248190000.00	40920312.00	0.16
ALARK	42108000000.00	55256838399.00	435000000.00	4947330582.00	11.00
ALBRK	15225000000.00	16058718000.00	2500000000.00	3632152000.00	1.00
ALCAR	11167200000.00	1777226813.00	10800000.00	-260241439.00	-24.00
ALCTL	4617002099.60	2596133687.00	38700772.00	38662619.00	1.00
ALFAS	18933600000.00	3517328760.00	368000000.00	455416365.00	1.00
ALGYO	5732244000.00	14800071205.00	289800000.00	1716899453.00	6.00
ALKA	4931850000.00	1655891916.00	183750000.00	184371288.00	1.00
ALKIM	4908000000.00	3398945865.00	150000000.00	398099030.00	3.00
ALKLC	3351040000.00	1647014704.00	112000000.00	-64746720.00	-0.58
ALMAD	1996500000.00	995792846.00	275000000.00	-23963715.00	-0.09
ALTNY	21223529443.60	3045642067.00	235294118.00	593366457.00	3.00
ALVES	5040000000.00	1880520353.00	160000000.00	94874729.00	0.59
ANELE	3625200000.00	2486126422.00	265000000.00	78991052.00	0.30
ANGEN	2908400000.00	1490568575.00	220000000.00	-192732571.00	-0.88
ANHYT	41602500000.00	8301717891.00	430000000.00	3603333262.00	8.00
ANSGR	43675000000.00	27675396621.00	500000000.00	8365507689.00	17.00
ARASE	12525000000.00	13252630308.00	250000000.00	5371222599.00	21.00
ARCLK	95885832289.50	75281422000.00	675728205.00	891492000.00	1.00
ARDYZ	6664000000.00	2405970692.00	170000000.00	264202909.00	2.00
ARENA	2592000000.00	1162159184.00	100000000.00	-176923217.00	-2.00
ARSAN	4735049609.40	6378738047.00	204449465.00	1339186238.00	7.00
ARTMS	2212000000.00	1420890474.00	70000000.00	77816701.00	1.00
ARZUM	1318033200.00	333148076.00	32210000.00	-312932821.00	-10.00
ASELS	316236000000.00	123968063000.00	4560000000.00	11762615000.00	3.00
ASGYO	7749840000.00	18705525647.00	659000000.00	6573128324.00	10.00
ASTOR	92714200000.00	18329603926.00	998000000.00	7352147578.00	7.00
ASUZU	16808400000.00	10993432891.00	252000000.00	526992838.00	2.00
ATAGY	612275000.00	576058572.00	47500000.00	36863928.00	0.78
ATAKP	6619233600.00	4127919208.00	138768000.00	246717812.00	2.00
ATATP	8728125000.00	1444650845.00	93750000.00	327766711.00	3.00
ATEKS	4231080000.00	3028570644.00	25200000.00	12058576.00	0.48
ATLAS	345600000.00	349804027.00	60000000.00	-40884566.00	-0.68
ATSYH	358240000.00	79213279.00	8000000.00	-9411961.00	-1.00
AVGYO	1068012000.00	1509931949.00	111600000.00	70533549.00	0.63
AVHOL	1364840000.00	573709966.00	37250000.00	131760067.00	4.00
AVOD	742500000.00	1030286744.00	270000000.00	-79889767.00	-0.30
AVPGY	22400000000.00	35873747087.00	400000000.00	13461362162.00	34.00
AVTUR	497700000.00	801956052.00	45000000.00	64337146.00	1.00
AYCES	12475000000.00	3150833448.00	25000000.00	-67632928.00	-3.00
AYDEM	17399400000.00	41680278071.00	705000000.00	-2301002887.00	-3.00
AYEN	8669100000.00	12403515523.00	277500000.00	1418984956.00	5.00
AYES	1344000000.00	1311187595.00	150000000.00	22604306.00	0.15
AYGAZ	39300377139.60	49282359000.00	219800767.00	6753013000.00	31.00
AZTEK	4756000000.00	1719386032.00	100000000.00	177555107.00	2.00
BAGFS	3040200000.00	5062183248.00	135000000.00	-1651345571.00	-12.00
BAHKM	2297900000.00	1091428653.00	55000000.00	166102760.00	3.00
BAKAB	2783520000.00	2298966911.00	72000000.00	-105299734.00	-1.00
BALAT	714742078.96	94291590.00	13878486.97	-76690765.00	-6.00
BANVT	33857981491.50	9146340750.00	100023579.00	3725941740.00	37.00
BARMA	4475625000.00	2604224880.00	262500000.00	243259852.00	0.93
BASCM	8118000000.00	4982832724.00	660000000.00	771400139.00	1.00
BASGZ	20062000000.00	18984744656.00	700000000.00	6617363785.00	9.00
BAYRK	819503750.00	141437731.00	47125000.00	-41856398.00	-0.89
BEGYO	3390400000.00	3256745647.00	815000000.00	481631220.00	0.59
BERA	10282160000.00	20841248186.00	683200000.00	4950804392.00	7.00
BEYAZ	2669631250.00	823149690.00	99687500.00	127014659.00	1.00
BFREN	22211595175.00	217523480.00	30636683.00	23514025.00	0.77
BIENY	11681960000.00	11314863064.00	361000000.00	614405624.00	2.00
BIGCH	3045220000.00	1109627660.00	107000000.00	197406011.00	2.00
BIMAS	294643800000.00	100832855000.00	607200000.00	21532436000.00	35.00
BINBN	10886400000.00	715078057.00	112000000.00	85047498.00	0.76
BINHO	13829750000.00	13674236275.00	47000000.00	-572229685.00	-12.00
BIOEN	8445000000.00	3900843909.00	500000000.00	833693805.00	2.00
BIZIM	2283910980.12	1621157712.00	80476074.00	-1060001265.00	-13.00
BJKAS	5148000000.00	-2431161733.00	1200000000.00	6574304.00	0.00
BLCYT	1752000000.00	2701632923.00	100000000.00	218518713.00	2.00
BMSCH	1358239400.00	886031712.00	36085000.00	-85681180.00	-2.00
BMSTL	4221000000.00	1093122593.00	150000000.00	-78097532.00	-0.52
BNTAS	1394409375.00	972347300.00	120937500.00	310242388.00	3.00
BOBET	8185200000.00	5821920442.00	380000000.00	1195580576.00	3.00
BORLS	8620570000.00	3077721629.00	168700000.00	-269636673.00	-2.00
BORSK	5448000000.00	4708589219.00	240000000.00	772167669.00	3.00
BOSSA	10985000000.00	7211504215.00	1300000000.00	738852094.00	0.57
BRISA	28665730406.25	17498211104.00	305116875.00	3695125621.00	12.00
BRKO	1072400000.00	1341861587.00	140000000.00	-457580191.00	-3.00
BRKSN	723216000.00	516775843.00	31200000.00	62918770.00	2.00
BRKVY	2756320000.00	918619000.00	56000000.00	260374000.00	5.00
BRLSM	3382400000.00	916632279.00	224000000.00	-412154760.00	-2.00
BRMEN	303017474.76	17386481.00	44627021.32	-24861783.00	-0.56
BRSAN	65736562500.00	29875122000.00	141750000.00	1321383000.00	9.00
BRYAT	61621875000.00	26421169720.00	28125000.00	1698534558.00	60.00
BSOKE	22040000000.00	6630577000.00	400000000.00	1777081000.00	4.00
BTCIM	25452000000.00	15305973000.00	180000000.00	3344701000.00	19.00
BUCIM	10905000000.00	12331336397.00	1500000000.00	3349611877.00	2.00
BURCE	1753876800.00	851002512.00	84240000.00	113154452.00	1.00
BURVA	916254698.40	91856212.00	7347672.00	31943023.00	4.00
BVSAN	3449800000.00	1563412956.00	37600000.00	388357536.00	10.00
BYDNR	1701840000.00	1364182523.00	84000000.00	-47157349.00	-0.56
CANTE	10640000000.00	21189804486.00	7000000000.00	-1428996072.00	-0.20
CASA	412580000.00	227721498.00	4900000.00	201960587.00	41.00
CATES	5920768000.00	11152725492.00	165200000.00	273813842.00	2.00
CCOLA	148018358045.80	53518542000.00	2798078602.00	20185028000.00	7.00
CELHA	2297494081.14	1012475087.00	101033161.00	-189067990.00	-2.00
CEMAS	2602390000.00	3667771273.00	791000000.00	-365494810.00	-0.46
CEMTS	4450000000.00	4895769621.00	500000000.00	150606077.00	0.30
CEMZY	4168740000.00	3374594187.00	402000000.00	97250272.00	0.24
CEOEM	1259280000.00	311522959.00	44000000.00	43075032.00	0.98
CIMSA	36783493556.60	24895929000.00	945591094.00	4605060000.00	5.00
CLEBI	51491700000.00	6307468062.00	24300000.00	2920652243.00	120.00
CMBTN	5239200000.00	486815697.00	1770000.00	76896992.00	43.00
CMENT	36064559764.80	10923918000.00	87112463.20	926560000.00	11.00
CONSE	2058570000.00	1657441152.00	771000000.00	204786438.00	0.27
COSMO	730653075.00	60621750.00	6494694.00	20888847.00	3.00
CRDFA	785000000.00	491915389.00	100000000.00	124531685.00	1.00
CRFSA	12930705090.86	5112665000.00	127773765.72	-1251963000.00	-10.00
CUSAN	1484850000.00	943821903.00	71250000.00	-99465843.00	-1.00
CVKMD	12558000000.00	5597422962.00	42000000.00	643466302.00	15.00
CWENE	25170750000.00	8255462089.00	123750000.00	183210280.00	1.00
DAGHL	489300000.00	29189898.00	30000000.00	-55246747.00	-2.00
DAGI	1779630000.00	1357039452.00	129900000.00	19422433.00	0.15
DAPGM	15370000000.00	9839869250.00	2650000000.00	2468372142.00	0.93
DARDL	3035994285.94	4756376424.00	586099283.00	147787320.00	0.25
DCTTR	3122600000.00	694537945.00	130000000.00	32597985.00	0.25
DENGE	807000000.00	1469809774.00	300000000.00	265785728.00	0.89
DERHL	2245061455.74	1262371223.00	197281323.00	136705553.00	0.69
DERIM	1756080000.00	354806435.00	54000000.00	77205142.00	1.00
DESA	5189100000.00	2499610238.00	245000000.00	657403367.00	3.00
DESPC	1086520000.00	319525265.00	23000000.00	-15371395.00	-0.67
DEVA	14031353037.77	19785044612.00	200019287.78	4367787682.00	22.00
DGATE	1254000000.00	231685610.00	30000000.00	-106589416.00	-4.00
DGGYO	13585758603.12	10131364655.00	332007786.00	2849152450.00	9.00
